Name,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Primary_Genre,Specific_Genre,Size,Original_Release_Year
Tic-Tac-Toe Arena,1.5,8,1.99,4+,Games,Entertainment,82583552,2009
4_IN_1_ROW_Lite,2.5,3593,0,4+,Games,Board,7750656,2009
Tournament Checkers Free,3,344,0,4+,Games,Entertainment,4578541,2009
Checkers,4.5,36581,0,4+,Games,Entertainment,69393408,2009
Checkers,4.5,36581,0,4+,Games,Entertainment,69393408,2009
Pipe Mania,3,302,0,4+,Games,Strategy,85569536,2009
WORMS,4,5778,1.99,12+,Games,Action,253834240,2009
Pixel Starships\u2122,4.5,27739,0,9+,Games,Entertainment,104436736,2016
PUSHY,4,163,1.99,4+,Games,Puzzle,83070976,2009
Traffic Rush,3.5,212763,0.99,9+,Games,Strategy,9466880,2009
Traffic Control!,3,24,0,4+,Games,Entertainment,4474837,2009
Sudoku Infinite,3.5,166,0,4+,Games,Strategy,10318615,2009
Cartoon Wars,3.5,35905,0.99,12+,Games,Role,13216994,2009
Hexxagon,2.5,268,0.99,4+,Games,Strategy,5334016,2009
Big Deuce - Big 2 Classic,3,942,0,4+,Games,Strategy,18093056,2009
Archmage Defense Lite,3.5,3135,0,9+,Games,Strategy,9205022,2009
Orbital,4,1435,2.99,4+,Games,Puzzle,22335488,2009
Tic Tac Toe: World Challenge,3,680,0,4+,Games,Entertainment,4481024,2009
Stock Wars - Virtual Investing,3.5,3015,0,4+,Finance,Simulation,10139648,2009
Sudoku Deluxe\xae,4.5,688,0,4+,Games,Travel,70557696,2009
Block Drop\xae,4,113,0.99,4+,Games,Strategy,48675840,2009
All American Girls Concentration Memory Game,2,291,0.99,17+,Games,Entertainment,9900032,2009
Phoenix Emperor 50 Marks,4.5,62,0,12+,Games,Adventure,22518784,2009
Cleopatra\xae,3.5,1054,0,12+,Games,Strategy,5085584,2009
Bored,3.5,9,0,4+,Games,Puzzle,16440320,2009
Orient Express: The Train Simulator,3,657,0,4+,Games,Entertainment,25035776,2009
Icy Escort,3,47338,0.99,4+,Games,Family,9214976,2009
Alice Greenfingers,3.5,1979,0.99,4+,Games,Strategy,9659320,2009
Space Control,2.5,654,0.99,4+,Games,Entertainment,13483008,2009
HIARCS Chess,4,213,9.99,4+,Games,Board,22864896,2009
Mobile Aquarium,3,15277,0,4+,Games,Simulation,8482816,2009
PUSHY lite,3.5,776,0,4+,Games,Education,64505856,2009
Ancient War,3.5,5378,0,12+,Games,Strategy,15120306,2009
Backgammon NJ,4,2567,4.99,4+,Games,Board,21422080,2009
Pebble Command,2.5,29,0,4+,Games,Entertainment,35214336,2009
Yahoo Fantasy Football & more,3.5,199585,0,17+,Sports,Games,145777664,2009
Chess - Play & Learn,4.5,143719,0,4+,Games,Strategy,109671424,2009
DodgeDot,3,4289,0,4+,Games,Entertainment,24214528,2009
Mummy: Tomb of the Lost Souls FREE,3,178,0,4+,Games,Entertainment,11965728,2009
Cannon Siege,3,694,0,12+,Games,Casual,7587880,2009
Slideswipe,5,6,0.99,4+,Games,Education,19798016,2010
Cows In Space,3,46861,0.99,4+,Games,Strategy,8752128,2009
Fare City: Taxi Mania,3.5,1639,0.99,4+,Games,Strategy,35438592,2009
Cartoon Wars Lite,4,148144,0,12+,Games,Adventure,12429966,2009
Bloons TD,4,7950,2.99,4+,Games,Strategy,8432232,2009
IpickMega,NA,NA,0.99,4+,Entertainment,Casino,1612800,2009
Igowin Tutor,3.5,517,0,4+,Games,Strategy,22585344,2009
MILLIONAIRE TYCOON\u2122,3.5,4049,0.99,4+,Games,Board,49016832,2009
